2015-10-28 14:22:13,245 | hello.py:176 | getSystemHealth | INFO | Got data (fromdate 2015-10-28 00:00:00): [(1, datetime.datetime(2015, 10, 28, 13, 22, 12, 273676), 44, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 9, 564848), 83, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 7, 443431), 7, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 5, 711635), 62, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 2, 832742), 69, None, None), (1, datetime.datetime(2015, 10, 28, 13, 21, 59, 586899), 74, None, None)] 
2015-10-28 14:22:13,245 | hello.py:203 | list_systems | INFO | Built systemlist: {'ElcomSweden': {'s_t': False, 'healthdata': {}, 'systemname': 'ElcomSweden', 'threshold': 70, 'description': 'Elcom SE'}, 'SecretSystem': {'s_t': False, 'healthdata': {}, 'systemname': 'SecretSystem', 'threshold': 50, 'description': 'Secret System'}, 'ElcomNorway': {'s_t': False, 'healthdata': {'2015-10-28 13:22:12': {'status': 44, 'who': None, 'meta': None}, '2015-10-28 13:21:59': {'status': 74, 'who': None, 'meta': None}, '2015-10-28 13:22:07': {'status': 7, 'who': None, 'meta': None}, '2015-10-28 13:22:09': {'status': 83, 'who': None, 'meta': None}, '2015-10-28 13:22:05': {'status': 62, 'who': None, 'meta': None}, '2015-10-28 13:22:02': {'status': 69, 'who': None, 'meta': None}}, 'systemname': 'ElcomNorway', 'threshold': 60, 'description': 'Elcom NO'}} 
2015-10-28 14:22:15,519 | hello.py:148 | getSystem | INFO | Looking up ElcomNorway 
2015-10-28 14:22:15,521 | hello.py:151 | getSystem | INFO | Got (1, 'ElcomNorway', 60, 'Elcom NO') 
2015-10-28 14:22:15,521 | hello.py:124 | register_health | INFO | Inserting data point for ElcomNorway system (1) at current time 
2015-10-28 14:22:19,175 | hello.py:181 | list_systems | INFO | running getSystem with no parameters 
2015-10-28 14:22:19,175 | hello.py:153 | getSystem | INFO | Looking up all systems 
2015-10-28 14:22:19,176 | hello.py:156 | getSystem | INFO | Got [(3, 'SecretSystem', 50, 'Secret System'), (2, 'ElcomSweden', 70, 'Elcom SE'), (1, 'ElcomNorway', 60, 'Elcom NO')] 
2015-10-28 14:22:19,177 | hello.py:183 | list_systems | INFO | got these systems in return: [(3, 'SecretSystem', 50, 'Secret System'), (2, 'ElcomSweden', 70, 'Elcom SE'), (1, 'ElcomNorway', 60, 'Elcom NO')] 
2015-10-28 14:22:19,177 | hello.py:186 | list_systems | INFO | looking up health from SecretSystem 
2015-10-28 14:22:19,177 | hello.py:148 | getSystem | INFO | Looking up SecretSystem 
2015-10-28 14:22:19,178 | hello.py:151 | getSystem | INFO | Got (3, 'SecretSystem', 50, 'Secret System') 
2015-10-28 14:22:19,178 | hello.py:162 | getSystemHealth | INFO | Getting health data for ID 3, name SecretSystem 
2015-10-28 14:22:19,179 | hello.py:176 | getSystemHealth | INFO | Got data (fromdate 2015-10-28 00:00:00): [] 
2015-10-28 14:22:19,179 | hello.py:186 | list_systems | INFO | looking up health from ElcomSweden 
2015-10-28 14:22:19,179 | hello.py:148 | getSystem | INFO | Looking up ElcomSweden 
2015-10-28 14:22:19,180 | hello.py:151 | getSystem | INFO | Got (2, 'ElcomSweden', 70, 'Elcom SE') 
2015-10-28 14:22:19,180 | hello.py:162 | getSystemHealth | INFO | Getting health data for ID 2, name ElcomSweden 
2015-10-28 14:22:19,181 | hello.py:176 | getSystemHealth | INFO | Got data (fromdate 2015-10-28 00:00:00): [] 
2015-10-28 14:22:19,181 | hello.py:186 | list_systems | INFO | looking up health from ElcomNorway 
2015-10-28 14:22:19,181 | hello.py:148 | getSystem | INFO | Looking up ElcomNorway 
2015-10-28 14:22:19,182 | hello.py:151 | getSystem | INFO | Got (1, 'ElcomNorway', 60, 'Elcom NO') 
2015-10-28 14:22:19,182 | hello.py:162 | getSystemHealth | INFO | Getting health data for ID 1, name ElcomNorway 
2015-10-28 14:22:19,184 | hello.py:176 | getSystemHealth | INFO | Got data (fromdate 2015-10-28 00:00:00): [(1, datetime.datetime(2015, 10, 28, 13, 22, 15, 519943), 1, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 12, 273676), 44, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 9, 564848), 83, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 7, 443431), 7, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 5, 711635), 62, None, None), (1, datetime.datetime(2015, 10, 28, 13, 22, 2, 832742), 69, None, None), (1, datetime.datetime(2015, 10, 28, 13, 21, 59, 586899), 74, None, None)] 
